1.jpg: [[6.674591064453125, -3.8332977294921875], [6.0823974609375, -5.80615234375], [0.71478271484375, -8.050643920898438], [7.691131591796875, 0.78253173828125]]
10.jpg: [[-9.845123291015625, -4.230438232421875], [-8.46484375, 0.66748046875], [-0.185333251953125, 2.224212646484375], [-6.4232177734375, -7.370574951171875]]
100.jpg: [[-6.9046630859375, 3.72900390625], [-3.00537109375, -8.9359130859375], [-5.679107666015625, -3.951080322265625], [7.332061767578125, 2.204559326171875]]
1000.jpg: [[-6.4023895263671875, -5.4618377685546875], [5.887664794921875, -1.219757080078125], [6.085174560546875, 3.412750244140625], [-0.6214599609375, -0.927154541015625]]
1001.jpg: [[-1.9521484375, -5.627777099609375], [6.511016845703125, -6.5477294921875], [7.384185791015625, 5.060791015625], [5.752838134765625, -4.684814453125]]
1002.jpg: [[8.832839965820312, 8.8408203125], [4.71002197265625, 4.31317138671875], [-2.8489227294921875, -0.43902587890625], [3.587188720703125, -3.478790283203125]]
1003.jpg: [[7.053680419921875, -7.4527130126953125], [8.25830078125, -7.46087646484375], [-5.047576904296875, -6.942657470703125], [7.8886260986328125, -4.421844482421875]]
1004.jpg: [[5.968902587890625, -0.7577362060546875], [6.510467529296875, 5.9901580810546875], [0.498016357421875, -2.999908447265625], [6.21527099609375, 1.068267822265625]]
1005.jpg: [[-4.6168670654296875, 6.323028564453125], [-1.2362823486328125, 7.8420867919921875], [4.0146331787109375, 4.8239288330078125], [9.972030639648438, -5.85595703125]]
1006.jpg: [[-8.03997802734375, -7.0675201416015625], [1.235382080078125, 0.5644187927246094], [2.4261398315429688, -4.87274169921875], [-8.190185546875, -9.008026123046875]]
1007.jpg: [[-9.399734497070312, -2.8150482177734375], [9.071502685546875, -9.449737548828125], [-8.106895446777344, -3.04986572265625], [9.113479614257812, 0.014739990234375]]
1008.jpg: [[-5.96844482421875, 1.28033447265625], [0.29290771484375, 6.8221282958984375], [8.297149658203125, -5.977691650390625], [-5.623779296875, 6.287384033203125]]
1009.jpg: [[3.539154052734375, -0.002349853515625], [8.490936279296875, -6.11859130859375], [2.420013427734375, -5.1846923828125], [4.716522216796875, -9.19329833984375]]
101.jpg: [[-6.320648193359375, 0.8727874755859375], [-0.0377197265625, 5.232025146484375], [-2.036773681640625, 8.591537475585938], [0.80419921875, 4.7057037353515625]]
1010.jpg: [[-4.493721008300781, -1.2816162109375], [2.118743896484375, -9.80322265625], [-0.37828826904296875, -6.979736328125], [-5.7188568115234375, 8.4007568359375]]
1011.jpg: [[-0.60748291015625, -9.217666625976562], [4.5222625732421875, 9.381378173828125], [-2.5807342529296875, 3.358795166015625], [-1.383209228515625, 7.483551025390625]]
1012.jpg: [[-8.568443298339844, 3.5428466796875], [2.256805419921875, -2.00408935546875], [-9.855438232421875, 1.53643798828125], [2.3815155029296875, -3.4986572265625]]
1013.jpg: [[8.354644775390625, -9.03515625], [-4.055633544921875, -2.477996826171875], [5.07012939453125, -3.7317962646484375], [-9.701263427734375, 9.265670776367188]]
1014.jpg: [[-7.618927001953125, 4.518096923828125], [-7.19085693359375, -5.7264404296875], [9.407928466796875, 4.553802490234375], [5.39593505859375, 9.854705810546875]]
1015.jpg: [[-4.2239227294921875, -4.2202301025390625], [-5.91070556640625, -0.85870361328125], [4.7628326416015625, -2.793548583984375], [5.207000732421875, 5.065399169921875]]
1016.jpg: [[-8.284210205078125, 8.104560852050781], [-7.127197265625, 8.428520202636719], [4.95147705078125, 1.8087310791015625], [5.930908203125, 1.3587646484375]]
1017.jpg: [[7.07550048828125, -6.5548858642578125], [7.57470703125, 0.1491241455078125], [8.0155029296875, 9.0579833984375], [-5.54254150390625, 5.95550537109375]]
1018.jpg: [[7.7664794921875, -3.109832763671875], [-1.423858642578125, 1.866119384765625], [7.353729248046875, 6.94256591796875], [-7.4067840576171875, 2.612030029296875]]
1019.jpg: [[9.161468505859375, 5.44976806640625], [-6.703857421875, 5.5191650390625], [-0.846527099609375, 7.857696533203125], [9.95068359375, 4.914093017578125]]
102.jpg: [[6.1536712646484375, -0.41593170166015625], [-0.224151611328125, 6.340362548828125], [-7.1137237548828125, -3.97064208984375], [7.9644775390625, -1.8925018310546875]]
1020.jpg: [[1.445465087890625, -1.21722412109375], [-9.341873168945312, -3.123077392578125], [2.192108154296875, 9.03204345703125], [0.181427001953125, -4.9600830078125]]
1021.jpg: [[-8.24688720703125, 0.7134857177734375], [5.7874755859375, 4.6972808837890625], [0.55755615234375, -2.75653076171875], [-0.280517578125, 7.1781005859375]]
1022.jpg: [[3.994417190551758, 9.568069458007812], [-7.7823486328125, -8.403053283691406], [-5.600249290466309, 0.165618896484375], [-4.241302490234375, 9.920913696289062]]
1023.jpg: [[5.1038818359375, -5.4231109619140625], [-2.211151123046875, 6.1661376953125], [6.18536376953125, 4.44964599609375], [4.39068603515625, 9.992034912109375]]
1024.jpg: [[8.326828002929688, 8.16650390625], [8.570709228515625, -8.902557373046875], [-8.340057373046875, 8.660430908203125], [-7.013763427734375, 1.042144775390625]]
1025.jpg: [[2.1004638671875, 2.40728759765625], [4.586883544921875, 1.861236572265625], [3.691436767578125, -8.256927490234375], [9.7398681640625, 7.14593505859375]]
1026.jpg: [[2.3641357421875, 4.3498687744140625], [-5.677490234375, -2.1120452880859375], [5.1286468505859375, 4.9049835205078125], [-6.5172119140625, -7.818939208984375]]
1027.jpg: [[2.0480165481567383, 2.30487060546875], [-5.17352294921875, -0.7278366088867188], [4.616092681884766, -0.450775146484375], [6.8194732666015625, -1.61553955078125]]
1028.jpg: [[-2.9592208862304688, 1.975830078125], [-2.2617950439453125, 9.2767333984375], [-2.869049072265625, -8.11907958984375], [1.16644287109375, 1.000732421875]]
1029.jpg: [[-4.17303466796875, -8.225479125976562], [-3.05316162109375, 2.59320068359375], [4.414398193359375, 5.0196533203125], [1.83746337890625, -8.35260009765625]]
103.jpg: [[0.6060562133789062, 1.6112060546875], [1.567291259765625, -5.9074859619140625], [-7.669816970825195, 8.983245849609375], [6.30316162109375, -8.85821533203125]]
1030.jpg: [[-4.453071594238281, -9.761062622070312], [9.55035400390625, -5.41448974609375], [5.1175689697265625, 0.32196044921875], [-9.149505615234375, 7.18768310546875]]
1031.jpg: [[-5.2984619140625, -8.575180053710938], [6.799591064453125, 9.359710693359375], [-0.8635406494140625, 4.893829345703125], [9.785736083984375, 5.297698974609375]]
1032.jpg: [[3.2200775146484375, -7.049556732177734], [2.3632049560546875, -3.1325645446777344], [9.847732543945312, -3.056610107421875], [7.8676300048828125, 0.1821441650390625]]
1033.jpg: [[4.372772216796875, 5.263267517089844], [0.443450927734375, -7.5931243896484375], [-0.7164459228515625, 4.807647705078125], [7.1600341796875, 8.8648681640625]]
